Nozzle [mmWC]	Fan [mmWC]	Revspeed [rpm]	ElPower [W]
0	53.2	2764	107.5
5	37.3	2560	148.5
7.8	34.05	2529	153.6
9.8	31.75	2515	155.2
12.1	29.05	2511	156.9
12.95	28.1	2511	155.8
14.05	26.8	2513	155.2
15	25.75	2517	154.7
15.65	25	2519	154.3
15.75	24.9	2521	154.2
16.05	24.45	2519	153.5
17.1	23.4	2523	152.8
18.4	22	2523	151.1
21.3	19.4	2541	148.6
23.3	17.2	2560	145.5
24.9	15.7	2573	143.5
26.2	15.4	2533	150
27.1	14.3	2537	148.7
16.7	0.4	1698	80.9
16	0.85	1680	81.7
15.25	1.2	1657	81.6
14.3	1.6	1623	81.4
12.8	2.25	1572	81.4
11.2	2.85	1514	80.7
8.4	4.2	1410	80.7
7.8	0.1	1191	56.2
0	25.6	1909	63.2
0.55	7.1	1127	57.8
2.35	22.15	1973	110.5
0	47.5	2651	97
18.2	5.2	1980	107.4
19.2	4.45	2000	105.7
24.7	11.7	2430	140.5
4.3	33.15	2434	140.7
0	50.3	2725	102.2
